Week,Semana_Num,Weekly_Total,Cumulative_Grand_Total,Total_Coverage,12M_Coverage,18M_Coverage,6A_Coverage,Adult_Coverage,12 Meses,18 Meses,6 Años,10-12 a,13-19 a,20-39 a,40-49 a
SE1,1,1589.0,1589.0,1.5429880950068944,101.00200400801602,83.16633266533067,119.64285714285714,0.0,504.0,415.0,670.0,0.0,0.0,0.0,0.0
SE2,2,248.0,1837.0,1.7838068788720358,120.44088176352705,92.38476953907816,137.67857142857142,0.9523809523809524,97.0,46.0,101.0,0.0,0.0,0.0,4.0
SE3,3,374.0,2211.0,2.1469771416364027,147.0941883767535,108.61723446893788,166.25,0.9523809523809524,133.0,81.0,160.0,0.0,0.0,0.0,0.0
SE4,4,4119.0,6330.0,6.146705249461071,422.8456913827655,361.7234468937876,429.64285714285717,2.142857142857143,1376.0,1263.0,1475.0,0.0,0.0,0.0,5.0
SE5,5,395.0,6725.0,6.530267425375308,455.31062124248496,378.1563126252505,453.57142857142856,6.190476190476191,162.0,82.0,134.0,0.0,0.0,0.0,17.0
SE6,6,1024.0,7749.0,7.5246159523023435,520.8416833667335,417.23446893787576,512.5,47.14285714285714,327.0,195.0,330.0,0.0,0.0,0.0,172.0
SE7,7,1251.0,9000.0,8.73939134994465,582.3647294589179,475.75150300601206,580.3571428571429,111.90476190476191,307.0,292.0,380.0,0.0,0.0,0.0,272.0
SE8,8,2285.0,11285.0,10.958225709347264,680.7615230460922,545.8917835671342,706.6071428571429,287.3809523809524,491.0,350.0,707.0,0.0,0.0,0.0,737.0
SE9,9,1111.0,12396.0,12.037055019323766,732.0641282565131,582.7655310621243,744.4642857142857,396.6666666666667,256.0,184.0,212.0,0.0,0.0,0.0,459.0
SE10,10,1926.0,14322.0,13.90728476821192,800.2004008016032,636.2725450901803,815.3571428571429,616.1904761904763,340.0,267.0,397.0,0.0,0.0,0.0,922.0
SE11,11,1170.0,15492.0,15.043405643704725,848.0961923847696,673.9478957915832,850.3571428571428,746.4285714285714,239.0,188.0,196.0,0.0,0.0,0.0,547.0
SE12,12,1588.0,17080.0,16.585422695228292,923.4468937875752,719.2384769539078,928.5714285714287,876.9047619047619,376.0,226.0,438.0,0.0,0.0,0.0,548.0
SE13,13,1434.0,18514.0,17.977899050319472,982.5651302605211,765.9318637274549,986.0714285714286,1015.952380952381,295.0,233.0,322.0,0.0,0.0,0.0,584.0
SE14,14,1094.0,19608.0,19.040220621079413,1019.8396793587174,797.1943887775551,1030.892857142857,1135.2380952380952,186.0,156.0,251.0,0.0,0.0,0.0,501.0
SE15,15,1248.0,20856.0,20.252082888271737,1089.9799599198398,841.4829659318638,1109.107142857143,1192.142857142857,350.0,221.0,438.0,0.0,0.0,0.0,239.0
SE16,16,1051.0,21907.0,21.27264958924861,1148.8977955911823,882.364729458918,1157.6785714285713,1259.047619047619,294.0,204.0,272.0,0.0,0.0,0.0,281.0
SE17,17,3736.0,25643.0,24.900468042958966,1319.6392785571143,1015.8316633266534,1343.75,1539.047619047619,852.0,666.0,1042.0,0.0,0.0,0.0,1176.0
SE18,18,2141.0,27784.0,26.97947214076246,1415.0300601202405,1075.1503006012024,1433.0357142857142,1745.952380952381,476.0,296.0,500.0,0.0,0.0,0.0,869.0
SE19,19,2296.0,30080.0,29.208987978481677,1509.0180360721442,1143.0861723446894,1531.4285714285716,1969.047619047619,469.0,339.0,551.0,0.0,0.0,0.0,937.0
SE20,20,2099.0,32179.0,31.247208249985437,1576.9539078156313,1198.5971943887776,1622.6785714285716,2200.476190476191,339.0,277.0,511.0,0.0,0.0,0.0,972.0
SE21,21,3745.0,35924.0,34.883766095045736,1755.310621242485,1354.9098196392786,1836.9642857142858,2408.809523809524,890.0,780.0,1200.0,0.0,0.0,0.0,875.0
SE22,22,2676.0,38600.0,37.48227845642928,1883.7675350701402,1449.4989979959919,1970.5357142857142,2602.8571428571427,641.0,472.0,748.0,0.0,0.0,0.0,815.0
SE23,23,1483.0,40083.0,38.92233594220349,1967.1342685370741,1505.6112224448898,2030.5357142857144,2710.238095238095,416.0,280.0,336.0,0.0,0.0,0.0,451.0
SE24,24,2510.0,42593.0,41.359655085354724,2239.6793587174348,1553.9078156312626,2138.5714285714284,2782.6190476190477,1360.0,241.0,605.0,0.0,0.0,0.0,304.0
SE25,25,2748.0,45341.0,44.02808257753782,2372.745490981964,1655.7114228456915,2248.214285714286,3011.6666666666665,664.0,508.0,614.0,0.0,0.0,0.0,962.0
SE26,26,3357.0,48698.0,47.287875551067174,2707.815631262525,1748.697394789579,2396.6071428571427,3104.5238095238096,1672.0,464.0,831.0,0.0,0.0,0.0,390.0
SE27,27,1448.0,50146.0,48.69394651492494,2830.6613226452905,1791.5831663326653,2464.6428571428573,3161.6666666666665,613.0,214.0,381.0,0.0,0.0,0.0,240.0
SE28,28,1799.0,51945.0,50.44085374143054,2928.6573146292585,1871.7434869739477,2543.392857142857,3273.3333333333335,489.0,400.0,441.0,0.0,0.0,0.0,469.0
SE29,29,1694.0,53639.0,52.085801402186796,3023.0460921843687,1930.6613226452907,2623.9285714285716,3387.1428571428573,471.0,294.0,451.0,0.0,0.0,0.0,478.0
SE30,30,2051.0,55690.0,54.07741158649084,3132.2645290581163,2029.8597194388776,2711.785714285714,3510.7142857142853,545.0,495.0,492.0,0.0,0.0,0.0,519.0
SE31,31,1147.0,56837.0,55.19119846186712,3197.995991983968,2082.565130260521,2763.035714285714,3574.7619047619046,328.0,263.0,287.0,0.0,0.0,0.0,269.0
SE32,32,1180.0,58017.0,56.337029772193205,3273.346693386774,2137.6753507014027,2832.1428571428573,3608.571428571429,376.0,275.0,387.0,0.0,0.0,0.0,142.0
SE33,33,1322.0,59339.0,57.620749257151736,3354.308617234469,2207.815631262525,2895.8928571428573,3658.8095238095234,404.0,350.0,357.0,0.0,0.0,0.0,211.0
SE34,34,593.0,59932.0,58.196578042764756,3390.581162324649,2236.4729458917836,2930.892857142857,3676.190476190476,181.0,143.0,196.0,0.0,0.0,0.0,73.0
SE35,35,328.0,60260.0,58.515080305296074,3409.418837675351,2253.9078156312626,2949.642857142857,3686.190476190476,94.0,87.0,105.0,0.0,0.0,0.0,42.0
SE36,36,814.0,61074.0,59.3055097007244,3463.3266533066135,2295.190380761523,2992.142857142857,3710.2380952380954,269.0,206.0,238.0,5.0,0.0,0.0,96.0
SE37,37,1116.0,62190.0,60.38919422811754,3544.2885771543088,2348.697394789579,3051.607142857143,3736.904761904762,404.0,267.0,333.0,6.0,2.0,0.0,104.0
SE38,38,1846.0,64036.0,62.18174049833951,3656.312625250501,2424.0480961923845,3121.25,3860.9523809523807,559.0,376.0,390.0,13.0,18.0,0.0,490.0
SE39,39,1778.0,65814.0,63.90825581169525,3744.488977955912,2499.3987975951904,3198.214285714286,3987.3809523809527,440.0,376.0,431.0,8.0,20.0,0.0,503.0
SE40,40,3054.0,68868.0,66.87382260977647,3822.6452905811625,2587.1743486973946,3339.6428571428573,4328.809523809524,390.0,438.0,792.0,0.0,10.0,0.0,1424.0
SE41,41,12294.0,81162.0,78.81183119380086,4088.9779559118238,2774.3486973947897,3912.8571428571427,5952.857142857143,1329.0,934.0,3210.0,151.0,230.0,0.0,6440.0
SE42,42,21348.0,102510.0,99.54166747586956,4388.376753507014,3045.2905811623245,4482.857142857143,9598.095238095237,1494.0,1352.0,3192.0,7349.0,4286.0,0.0,3675.0
