INSTRUCCIONES: Favor de llenar la columna amarilla con las dosis reales aplicadas para verificar congruencia con el stock.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
FECHA,EXISTENCIA SR (PUNTOS),CONSUMO TEÓRICO (Δ STOCK),DOSIS APLICADAS (LLENAR AQUÍ),DIFERENCIA / DESFASE
17/02/2026,2460,-,0,-
18/02/2026,1642,818,0,818
19/02/2026,1261,381,0,381
20/02/2026,285,976,0,976
21/02/2026,1211,-926,0,-926
22/02/2026,1161,50,0,50
23/02/2026,981,180,0,180
24/02/2026,940,41,0,41
25/02/2026,669,271,0,271
26/02/2026,669,0,0,0
27/02/2026,1120,-451,0,-451
28/02/2026,1120,0,0,0
01/03/2026,1120,0,0,0
02/03/2026,259,861,0,861
03/03/2026,259,0,0,0
04/03/2026,8820,-8561,0,-8561
05/03/2026,14200,-5380,0,-5380
06/03/2026,15600,-1400,0,-1400
07/03/2026,15660,-60,0,-60
08/03/2026,15580,80,0,80
09/03/2026,10370,5210,0,5210
