FECHA,SECCIÓN,SR ALMACÉN,SR PUNTOS,SRP ALMACÉN,SRP PUNTOS,TOTAL SR,TOTAL SRP
17/02/2026,TOTAL GENERAL,1700,2460,2500,17096,4160,19596
18/02/2026,TOTAL GENERAL,1100,1642,1250,10400,2742,11650
18/02/2026,JURISDICCIÓN No. 1,0,350,0,5127,350,5127
18/02/2026,JURISDICCIÓN No.2,1100,0,1100,2014,1100,3114
18/02/2026,JURISDICCIÓN No. 3,0,220,0,2211,220,2211
18/02/2026,JURISDICCIÓN No. 4,0,1072,150,1048,1072,1198
19/02/2026,TOTAL GENERAL,560,1261,11335,5369,1821,16704
19/02/2026,ALMACEN ESTATAL,0,20,4900,3131,20,8031
19/02/2026,JURISDICCIÓN No. 1,0,20,6000,1921,20,7921
19/02/2026,JURISDICCIÓN No.2,530,290,310,1465,820,1775
19/02/2026,JURISDICCIÓN No. 3,0,106,0,1239,106,1239
19/02/2026,JURISDICCIÓN No. 4,30,825,125,744,855,869
20/02/2026,TOTAL GENERAL,630,285,510,5267,915,5777
20/02/2026,JURISDICCIÓN No. 1,0,20,0,1921,20,1921
20/02/2026,JURISDICCIÓN No.2,630,0,360,976,630,1336
20/02/2026,JURISDICCIÓN No. 3,0,116,0,1596,116,1596
20/02/2026,JURISDICCIÓN No. 4,0,149,150,774,149,924
21/02/2026,TOTAL GENERAL,460,1211,8115,8718,1671,16833
21/02/2026,ALMACEN ESTATAL,0,20,6500,3131,20,9631
21/02/2026,JURISDICCIÓN No. 1,0,20,1250,5320,20,6570
21/02/2026,JURISDICCIÓN No.2,430,240,240,1415,670,1655
21/02/2026,JURISDICCIÓN No. 3,0,106,0,1239,106,1239
21/02/2026,JURISDICCIÓN No. 4,30,825,125,744,855,869
22/02/2026,TOTAL GENERAL,460,1161,6865,8295,1621,15160
22/02/2026,ALMACEN ESTATAL,0,20,6500,3131,20,9631
22/02/2026,JURISDICCIÓN No. 1,0,20,0,4947,20,4947
22/02/2026,JURISDICCIÓN No.2,430,190,240,1365,620,1605
22/02/2026,JURISDICCIÓN No. 3,0,106,0,1239,106,1239
22/02/2026,JURISDICCIÓN No. 4,30,825,125,744,855,869
23/02/2026,TOTAL GENERAL,430,981,6525,7827,1411,14352
23/02/2026,ALMACEN ESTATAL,0,20,700,3131,20,3831
23/02/2026,JURISDICCIÓN No. 1,0,0,0,4947,0,4947
23/02/2026,JURISDICCIÓN No.2,400,95,3200,1064,495,4264
23/02/2026,JURISDICCIÓN No. 3,0,106,1500,1239,106,2739
23/02/2026,JURISDICCIÓN No. 4,30,760,1125,577,790,1702
24/02/2026,TOTAL GENERAL,260,940,6025,7759,1200,13784
24/02/2026,ALMACEN ESTATAL,0,20,200,3131,20,3331
24/02/2026,JURISDICCIÓN No. 1,0,0,0,5037,0,5037
24/02/2026,JURISDICCIÓN No.2,230,110,3200,906,340,4106
24/02/2026,JURISDICCIÓN No. 3,0,50,1500,1239,50,2739
24/02/2026,JURISDICCIÓN No. 4,30,760,1125,577,790,1702
25/02/2026,TOTAL GENERAL,0,669,2948,6006,669,8954
25/02/2026,ALMACEN ESTATAL,0,0,500,0,0,500
25/02/2026,JURISDICCIÓN No. 1,0,0,250,312,0,562
25/02/2026,JURISDICCIÓN No.2,0,260,1198,2902,260,4100
25/02/2026,JURISDICCIÓN No. 3,0,390,0,2232,390,2232
25/02/2026,JURISDICCIÓN No. 4,0,19,1000,560,19,1560
26/02/2026,TOTAL GENERAL,0,669,2948,6006,669,8954
26/02/2026,ALMACEN ESTATAL,0,0,500,0,0,500
26/02/2026,JURISDICCIÓN No. 1,0,0,250,312,0,562
26/02/2026,JURISDICCIÓN No.2,0,260,1198,2902,260,4100
26/02/2026,JURISDICCIÓN No. 3,0,390,0,2232,390,2232
26/02/2026,JURISDICCIÓN No. 4,0,19,1000,560,19,1560
27/02/2026,TOTAL GENERAL,0,1120,52648,8368,1120,61016
27/02/2026,ALMACEN ESTATAL,0,0,50000,0,0,50000
27/02/2026,JURISDICCIÓN No. 1,0,0,500,3100,0,3600
27/02/2026,JURISDICCIÓN No.2,0,240,1148,2508,240,3656
27/02/2026,JURISDICCIÓN No. 3,0,390,0,2232,390,2232
27/02/2026,JURISDICCIÓN No. 4,0,490,1000,528,490,1528
28/02/2026,TOTAL GENERAL,0,1120,52648,8368,1120,61016
28/02/2026,ALMACEN ESTATAL,0,0,50000,0,0,50000
