Día de aplicación,Aplicaciones SR (Doble viral contra sarampión) el día reportado,Aplicaciones SRP (Triple viral contra sarampión) el día reportado
2026-02-12,2959.0,4979.0
2026-02-13,15510.0,7663.0
2026-02-14,0.0,0.0
2026-02-15,0.0,0.0
2026-02-16,214.0,171.0
2026-02-17,1439.0,3628.0
2026-02-18,2177.0,7451.0
2026-02-19,872.0,3670.0
2026-02-20,960.0,5463.0
2026-02-21,50.0,192.0
2026-02-22,382.0,50.0
2026-02-23,577.0,2223.0
2026-02-24,6945.0,2477.0
2026-02-25,2826.0,1066.0
2026-02-26,359.0,2310.0
2026-02-27,57.0,266.0
2026-02-28,0.0,133.0
2026-03-01,0.0,50.0
2026-03-02,215.0,671.0
2026-03-03,111.0,659.0
2026-03-04,336.0,1040.0
2026-03-05,264.0,747.0
2026-03-06,238.0,210.0
2026-03-07,40.0,0.0
2026-03-08,10.0,0.0
2026-03-09,2314.0,1743.0
2026-03-10,623.0,993.0
2026-03-11,287.0,1039.0
2026-03-12,1346.0,2668.0
2026-03-13,0.0,52.0
2026-03-14,,
2026-03-15,,
2026-03-16,,
2026-03-17,,
2026-03-18,,
2026-03-19,,
2026-03-20,,
2026-03-21,,
2026-03-22,,
2026-03-23,,
2026-03-24,,
2026-03-25,,
2026-03-26,,
2026-03-27,,
2026-03-28,,
2026-03-29,,
2026-03-30,,
2026-03-31,,
2026-04-01,,
2026-04-02,,
2026-04-03,,
2026-04-04,,
2026-04-05,,
2026-04-06,,
2026-04-07,,
2026-04-08,,
2026-04-09,,
2026-04-10,,
2026-04-11,,
2026-04-12,,
2026-04-13,,
2026-04-14,,
2026-04-15,,
2026-04-16,,
2026-04-17,,
2026-04-18,,
2026-04-19,,
2026-04-20,,
2026-04-21,,
2026-04-22,,
2026-04-23,,
2026-04-24,,
2026-04-25,,
2026-04-26,,
2026-04-27,,
2026-04-28,,
2026-04-29,,
2026-04-30,,
2026-05-01,,
2026-05-02,,
2026-05-03,,
2026-05-04,,
2026-05-05,,
2026-05-06,,
2026-05-07,,
2026-05-08,,
2026-05-09,,
2026-05-10,,
2026-05-11,,
2026-05-12,,
2026-05-13,,
2026-05-14,,
2026-05-15,,
2026-05-16,,
2026-05-17,,
2026-05-18,,
2026-05-19,,
2026-05-20,,
2026-05-21,,
2026-05-22,,
2026-05-23,,
2026-05-24,,
2026-05-25,,
2026-05-26,,
2026-05-27,,
2026-05-28,,
2026-05-29,,
2026-05-30,,
2026-05-31,,
