Unnamed: 0,🦠 COBERTURA SARAMPIÓN SRP/SR — AJUSTADA CON CUBOS ENE-MAY 2025 · DURANGO,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,"Universo CONAPO 2026 | Cubos ene-may 2025: 16,979 dosis | Nominal jun 2025-mar 2026 | Corte: 18/03/2026",,,,,,,,,,
,,,,,,,,,,,
,"Universo
Durango","Meta
Sectorial","Cubos
Ene-May 2025","Nominal
Jun 25-Mar 26","Total
Dosis Ajustado","Cob. Ajustada
vs Meta","Incremento
vs anterior",,,,
,"1,523,315","790,041","16,093","283,930","300,023",38.0%,+2.1pp,,,,
,,,,,,,,,,,
,COBERTURA TOTAL POR MUNICIPIO — FUENTES: CUBOS ENE-MAY 2025 + NOMINAL JUN 2025-MAR 2026,,,,,,,,,,
,Municipio,"Universo
2026","Meta
Sect.","Cubos
Ene-May 25","Nom.
2025*","Nom.
2026","Total
Dosis","Pendientes
vs Meta","% Cob
vs Meta","% Cob
vs Univ",Semáforo
,Peñón Blanco,"8,554","4,451",98,0,0,98,"4,353",2.2%,1.1%,🔴 CRÍTICO
,Santa Clara,"40,327","20,910",421,559,224,"1,204","19,706",5.8%,3.0%,🔴 CRÍTICO
,Topia,"19,989","10,378",214,331,267,812,"9,566",7.8%,4.1%,🔴 CRÍTICO
