COBERTURA DE VACUNACIÓN SRP-SR SSA — DURANGO 2026,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Fuente dosis aplicadas: SRP-SR-2025_21-03-2026.csv (SRP-SR SSA)  |  Corte: 21 de marzo 2026,,,,,
Grupo de Edad,Población 2026,Población Meta,Dosis Aplicadas (CSV),Población Susceptible,Cobertura (%)
6 a 11 meses,0,6335,12073,2094,66.95
1 año,12669,12255,26624,916,92.53
18 meses,0,12255,20043,3133,74.43
Rezagados 2 a 12 años,0,38054,125761,38054,0
13 a 19 años,0,30841,33010,29533,4.24
20 a 39 años,192899,96450,133398,96450,0
40 a 49 años,80995,40498,46029,32080,20.79
TOTAL DURANGO,286563,236688,34428,202260,14.55
,,,,,
🟢 ≥ 95% Buena  |  🟡 80-94% Regular  |  🔴 < 80% Insuficiente,,,,,
