Tipo de biológico,Existencias de vacunas en almacenes,Existencias de vacunas en puntos de vacunación,Unnamed: 3
SR (Doble viral contra sarampión),9960.0,16710.0,EN TODAS LAS JURISDICCIONES 
SRP (Triple viral contra sarampión),338.0,4658.0,EN TODAS LAS JURISDICCIONES 
,,,
,,,
,,,
JURISDICCIÓN No. 1,,,
SR (Doble viral contra sarampión),3460.0,12750.0,
SRP (Triple viral contra sarampión),100.0,1138.0,
,,,
JURISDICCIÓN No.2,,,
SR (Doble viral contra sarampión),6500.0,3520.0,
SRP (Triple viral contra sarampión),88.0,1220.0,
,,,
JURISDICCIÓN No. 3,,,
SR (Doble viral contra sarampión),0.0,70.0,
SRP (Triple viral contra sarampión),0.0,1327.0,
,,,
JURISDICCIÓN No. 4,,,
SR (Doble viral contra sarampión),0.0,370.0,
SRP (Triple viral contra sarampión),150.0,973.0,
