,FECHA,SECCIÓN,SR ALMACÉN,SR PUNTOS,SRP ALMACÉN,SRP PUNTOS,TOTAL SR,TOTAL SRP
106,09/03/2026,TOTAL GENERAL,3460,10370,438,5370,13830,5808
107,09/03/2026,JURISDICCIÓN No. 1,3460,9910,100,1720,13370,1820
108,09/03/2026,JURISDICCIÓN No.2,0,20,188,1350,20,1538
109,09/03/2026,JURISDICCIÓN No. 3,0,70,0,1327,70,1327
110,09/03/2026,JURISDICCIÓN No. 4,0,370,150,973,370,1123
111,10/03/2026,TOTAL GENERAL,9960,16710,338,4658,26670,4996
112,11/03/2026,TOTAL GENERAL,9110,17050,318,3815,26160,4133
113,12/03/2026,TOTAL GENERAL,11660,18290,318,3530,29950,3848
114,13/03/2026,TOTAL GENERAL,11460,17700,318,3517,29160,3835
115,14/03/2026,TOTAL GENERAL,11460,17700,318,3517,29160,3835
116,10/03/2026,JURISDICCIÓN No. 1,3460,12750,100,1138,16210,1238
117,10/03/2026,JURISDICCIÓN No. 2,6500,3520,88,1220,10020,1308
118,10/03/2026,JURISDICCIÓN No. 3,0,70,0,1327,70,1327
119,10/03/2026,JURISDICCIÓN No. 4,0,370,150,973,370,1123
120,11/03/2026,JURISDICCIÓN No. 1,2210,12110,100,432,14320,532
121,11/03/2026,JURISDICCIÓN No. 2,5400,4510,68,1217,9910,1285
122,11/03/2026,JURISDICCIÓN No. 3,0,70,0,1327,70,1327
123,11/03/2026,JURISDICCIÓN No. 4,1500,360,150,839,1860,989
124,12/03/2026,JURISDICCIÓN No. 1,6160,12160,100,420,18320,520
125,12/03/2026,JURISDICCIÓN No. 2,4000,5710,68,997,9710,1065
126,12/03/2026,JURISDICCIÓN No. 3,0,60,0,1300,60,1300
127,12/03/2026,JURISDICCIÓN No. 4,1500,360,150,813,1860,963
128,13/03/2026,JURISDICCIÓN No. 1,6160,12090,100,415,18250,515
129,13/03/2026,JURISDICCIÓN No. 2,3800,5190,68,989,8990,1057
130,13/03/2026,JURISDICCIÓN No. 3,0,60,0,1300,60,1300
131,13/03/2026,JURISDICCIÓN No. 4,1500,360,150,813,1860,963
132,14/03/2026,JURISDICCIÓN No. 1,6160,12090,100,415,18250,515
133,14/03/2026,JURISDICCIÓN No. 2,3800,5190,68,989,8990,1057
134,14/03/2026,JURISDICCIÓN No. 3,0,60,0,1300,60,1300
135,14/03/2026,JURISDICCIÓN No. 4,1500,360,150,813,1860,963
