Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,EXISTENCIAS DE VACUNA SRP 2025,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,MAYO
INSTITUCIÓN ,,DOSIS,LOTE,CADUCIDAD,,TOTAL,CAMARA ESTATAL,,,
JURISDICCIÓN 1,,1688,,,,,25316,,,
,,3000,0133M080,31/05  B/2027,,,,,,
,,,,,JURISD. 1,4688,,,,
,,,,,,,,,,
JURISDICCIÓN 2,,3000,0124W096,2027-05-31 00:00:00,,,,,,
,,,,,JURISD. 2,3000,,,,
,,,,,,,,,,
,,,,,,,,,,
JURISDICCIÓN 3,,1148,0124W096,2027-05-31 00:00:00,,,,,,
,,,,,JURISD. 3,1148,,,,
,,,,,,,,,,
JURISDICCIÓN 4,,467,0124W096,2027-05-31 00:00:00,,,,,,
,,,,,JURISD. 4,467,,,,
,,,,,,,,,,
,,,,,TOTAL,9303,25316,,,
,,,,,,,,,,
,,,,,EXISTENCIAS DE VACUNA SR 2025,,,,,MAYO
INSTITUCIÓN ,,DOSIS,LOTE,CADUCIDAD,,TOTAL,LLEGO,,,
JURISDICCIÓN 1,,7000,0124W096,2027-05-31 00:00:00,,,40000,,,
,,,,,JURISD. 1,7000,,,,
,,,,,,,,,,
JURISDICCIÓN 2,,6000,0124W096,2027-05-31 00:00:00,,,,,,
,,,,,JURISD. 2,6000,,,,
,,,,,,,,,,
JURISDICCIÓN 3,,70,0124W096,2027-05-31 00:00:00,,,,,,
,,3000,,,JURISD. 3,3070,,,,
,,,,,,,,,,
JURISDICCIÓN 4,,700,0124W096,2027-05-31 00:00:00,,,,,,
,,,,,JURISD. 4,700,,,,
,,,,,,,,,,
,,,,,TOTAL,16770,23230,,,
