FECHA_PARSED,JUR,SR PUNTOS,SRP PUNTOS,CONSUMO_SR,CONSUMO_SRP,SR_APLICADAS,SRP_APLICADAS,DIFER_SR,DIFER_SRP,FECHA_STR
2026-02-18,JUR1,350,5127,0,0,0,0,0,0,18/02/2026
2026-02-19,JUR1,20,1921,330,3206,0,0,330,3206,19/02/2026
2026-02-20,JUR1,20,1921,0,0,0,0,0,0,20/02/2026
2026-02-21,JUR1,20,5320,0,-3399,0,0,0,-3399,21/02/2026
2026-02-22,JUR1,20,4947,0,373,0,0,0,373,22/02/2026
2026-02-23,JUR1,0,4947,20,0,0,0,20,0,23/02/2026
2026-02-24,JUR1,0,5037,0,-90,0,0,0,-90,24/02/2026
2026-02-25,JUR1,0,312,0,4725,0,0,0,4725,25/02/2026
2026-02-26,JUR1,0,312,0,0,0,0,0,0,26/02/2026
2026-02-27,JUR1,0,3100,0,-2788,0,0,0,-2788,27/02/2026
2026-02-28,JUR1,0,3100,0,0,0,0,0,0,28/02/2026
2026-03-01,JUR1,0,2700,0,400,0,0,0,400,01/03/2026
2026-03-02,JUR1,20,3319,-20,-619,0,0,-20,-619,02/03/2026
2026-03-03,JUR1,6190,3108,-6170,211,0,0,-6170,211,03/03/2026
2026-03-04,JUR1,8630,3000,-2440,108,0,0,-2440,108,04/03/2026
2026-03-05,JUR1,13650,3089,-5020,-89,0,0,-5020,-89,05/03/2026
2026-03-06,JUR1,15280,3014,-1630,75,0,0,-1630,75,06/03/2026
2026-03-07,JUR1,15340,3011,-60,3,0,0,-60,3,07/03/2026
2026-03-08,JUR1,15260,3011,80,0,0,0,80,0,08/03/2026
2026-03-09,JUR1,9910,1720,5350,1291,0,0,5350,1291,09/03/2026
2026-03-10,JUR1,12750,1138,-2840,582,0,0,-2840,582,10/03/2026
2026-03-11,JUR1,12110,432,640,706,0,0,640,706,11/03/2026
2026-03-12,JUR1,12160,420,-50,12,0,0,-50,12,12/03/2026
2026-03-13,JUR1,12090,415,70,5,0,0,70,5,13/03/2026
2026-03-14,JUR1,12090,415,0,0,0,0,0,0,14/03/2026
2026-02-18,JUR2,0,2014,0,0,0,0,0,0,18/02/2026
2026-02-19,JUR2,290,1465,-290,549,0,0,-290,549,19/02/2026
2026-02-20,JUR2,0,976,290,489,0,0,290,489,20/02/2026
2026-02-21,JUR2,240,1415,-240,-439,0,0,-240,-439,21/02/2026
2026-02-22,JUR2,190,1365,50,50,0,0,50,50,22/02/2026
2026-02-23,JUR2,95,1064,95,301,0,0,95,301,23/02/2026
2026-02-24,JUR2,110,906,-15,158,0,0,-15,158,24/02/2026
2026-02-25,JUR2,260,2902,-150,-1996,0,0,-150,-1996,25/02/2026
2026-02-26,JUR2,260,2902,0,0,0,0,0,0,26/02/2026
2026-02-27,JUR2,240,2508,20,394,0,0,20,394,27/02/2026
2026-02-28,JUR2,240,2508,0,0,0,0,0,0,28/02/2026
2026-03-01,JUR2,240,2508,0,0,0,0,0,0,01/03/2026
2026-03-02,JUR2,100,1975,140,533,0,0,140,533,02/03/2026
2026-03-03,JUR2,40,1871,60,104,0,0,60,104,03/03/2026
2026-03-04,JUR2,40,1871,0,0,0,0,0,0,04/03/2026
2026-03-05,JUR2,30,1664,10,207,0,0,10,207,05/03/2026
2026-03-06,JUR2,30,1551,0,113,0,0,0,113,06/03/2026
2026-03-07,JUR2,30,1551,0,0,0,0,0,0,07/03/2026
2026-03-08,JUR2,30,1551,0,0,0,0,0,0,08/03/2026
2026-03-09,JUR2,20,1350,10,201,0,0,10,201,09/03/2026
2026-03-10,JUR2,3520,1220,-3500,130,0,0,-3500,130,10/03/2026
2026-03-11,JUR2,4510,1217,-990,3,0,0,-990,3,11/03/2026
2026-03-12,JUR2,5710,997,-1200,220,0,0,-1200,220,12/03/2026
2026-03-13,JUR2,5190,989,520,8,0,0,520,8,13/03/2026
2026-03-14,JUR2,5190,989,0,0,0,0,0,0,14/03/2026
2026-02-18,JUR3,220,2211,0,0,0,0,0,0,18/02/2026
2026-02-19,JUR3,106,1239,114,972,0,0,114,972,19/02/2026
2026-02-20,JUR3,116,1596,-10,-357,0,0,-10,-357,20/02/2026
2026-02-21,JUR3,106,1239,10,357,0,0,10,357,21/02/2026
2026-02-22,JUR3,106,1239,0,0,0,0,0,0,22/02/2026
2026-02-23,JUR3,106,1239,0,0,0,0,0,0,23/02/2026
2026-02-24,JUR3,50,1239,56,0,0,0,56,0,24/02/2026
2026-02-25,JUR3,390,2232,-340,-993,0,0,-340,-993,25/02/2026
2026-02-26,JUR3,390,2232,0,0,0,0,0,0,26/02/2026
2026-02-27,JUR3,390,2232,0,0,0,0,0,0,27/02/2026
2026-02-28,JUR3,390,2232,0,0,0,0,0,0,28/02/2026
2026-03-01,JUR3,390,2232,0,0,0,0,0,0,01/03/2026
2026-03-02,JUR3,10,159,380,2073,0,0,380,2073,02/03/2026
2026-03-03,JUR3,150,1661,-140,-1502,0,0,-140,-1502,03/03/2026
2026-03-04,JUR3,150,1598,0,63,0,0,0,63,04/03/2026
2026-03-05,JUR3,150,1598,0,0,0,0,0,0,05/03/2026
2026-03-06,JUR3,150,1464,0,134,0,0,0,134,06/03/2026
2026-03-07,JUR3,150,1464,0,0,0,0,0,0,07/03/2026
2026-03-08,JUR3,150,1464,0,0,0,0,0,0,08/03/2026
2026-03-09,JUR3,70,1327,80,137,0,0,80,137,09/03/2026
2026-03-10,JUR3,70,1327,0,0,0,0,0,0,10/03/2026
2026-03-11,JUR3,70,1327,0,0,0,0,0,0,11/03/2026
2026-03-12,JUR3,60,1300,10,27,0,0,10,27,12/03/2026
2026-03-13,JUR3,60,1300,0,0,0,0,0,0,13/03/2026
2026-03-14,JUR3,60,1300,0,0,0,0,0,0,14/03/2026
2026-02-18,JUR4,1072,1048,0,0,0,0,0,0,18/02/2026
2026-02-19,JUR4,825,744,247,304,0,0,247,304,19/02/2026
2026-02-20,JUR4,149,774,676,-30,0,0,676,-30,20/02/2026
2026-02-21,JUR4,825,744,-676,30,0,0,-676,30,21/02/2026
2026-02-22,JUR4,825,744,0,0,0,0,0,0,22/02/2026
2026-02-23,JUR4,760,577,65,167,0,0,65,167,23/02/2026
2026-02-24,JUR4,760,577,0,0,0,0,0,0,24/02/2026
2026-02-25,JUR4,19,560,741,17,0,0,741,17,25/02/2026
2026-02-26,JUR4,19,560,0,0,0,0,0,0,26/02/2026
2026-02-27,JUR4,490,528,-471,32,0,0,-471,32,27/02/2026
2026-02-28,JUR4,490,528,0,0,0,0,0,0,28/02/2026
2026-03-01,JUR4,490,528,0,0,0,0,0,0,01/03/2026
2026-03-02,JUR4,129,562,361,-34,0,0,361,-34,02/03/2026
2026-03-03,JUR4,105,458,24,104,0,0,24,104,03/03/2026
2026-03-04,JUR4,0,1327,105,-869,0,0,105,-869,04/03/2026
2026-03-05,JUR4,370,949,-370,378,0,0,-370,378,05/03/2026
2026-03-06,JUR4,140,1140,230,-191,0,0,230,-191,06/03/2026
2026-03-07,JUR4,140,1140,0,0,0,0,0,0,07/03/2026
2026-03-08,JUR4,140,1140,0,0,0,0,0,0,08/03/2026
2026-03-09,JUR4,370,973,-230,167,0,0,-230,167,09/03/2026
2026-03-10,JUR4,370,973,0,0,0,0,0,0,10/03/2026
2026-03-11,JUR4,360,839,10,134,0,0,10,134,11/03/2026
2026-03-12,JUR4,360,813,0,26,0,0,0,26,12/03/2026
2026-03-13,JUR4,360,813,0,0,0,0,0,0,13/03/2026
2026-03-14,JUR4,360,813,0,0,0,0,0,0,14/03/2026
