Cálculos propios con datos de CONAPO 2026,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
Edad,Canatlán,Canelas,Coneto de Comonfort,Cuencamé,Durango,El Oro,General Simón Bolívar,Gómez Palacio,Guadalupe Victoria,Guanaceví,Hidalgo,Indé,Lerdo,Mapimí,Mezquital,Nazas,Nombre de Dios,Nuevo Ideal,Ocampo,Otáez,Pánuco de Coronado,Peñón Blanco,Poanas,Pueblo Nuevo,Rodeo,San Bernardo,San Dimas,San Juan de Guadalupe,San Juan del Río,San Luis del Cordero,San Pedro del Gallo,Santa Clara,Santiago Papasquiaro,Súchil,Tamazula,Tepehuanes,Tlahualilo,Topia,Vicente Guerrero,,,Poblacion Total H y M
Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,212,38,31,266,4951,62,72,2877,253,77,23,29,1266,245,672,99,141,248,47,41,84,85,184,510,100,14,137,33,16,12,45,371,59,248,79,170,83,189,88,14157.0,,27794
1,216,39,32,272,5055,64,73,2938,258,79,24,30,1293,250,686,101,144,253,48,42,86,87,187,521,103,14,140,34,16,12,46,379,60,253,80,174,85,193,90,14457.0,,28379
2,221,40,32,279,5184,65,75,3013,265,81,24,31,1326,256,704,104,147,260,49,43,88,89,192,534,105,15,144,34,17,13,47,389,62,260,82,178,87,198,92,14825.0,,29092
3,228,41,33,287,5333,67,77,3099,272,83,25,32,1363,263,724,107,152,267,51,44,90,91,198,549,108,15,148,35,17,13,48,400,63,267,85,183,89,204,95,15246.0,,29909
4,235,43,34,296,5507,69,80,3200,281,86,26,33,1408,272,748,110,157,276,52,45,93,94,204,567,112,15,153,37,18,13,50,413,66,276,88,189,92,210,98,15746.0,,30883
5,235,42,33,299,5908,72,81,3240,305,77,26,34,1434,270,735,108,154,267,49,43,94,93,202,523,106,15,144,37,17,12,52,418,64,254,93,182,84,213,100,16115.0,,31639
6,241,43,34,307,6046,74,83,3318,312,79,27,35,1469,276,753,111,158,273,50,44,96,96,206,535,109,15,148,38,17,12,53,428,65,260,95,186,87,218,102,16499.0,,32431
7,246,44,35,313,6175,75,84,3387,318,81,28,35,1499,282,768,113,161,279,51,45,98,98,211,546,111,16,151,38,17,12,54,437,67,266,97,190,88,222,104,16842.0,,33056
8,248,44,35,316,6240,76,85,3422,322,82,28,36,1515,285,776,114,163,282,51,45,99,99,213,552,112,16,152,39,18,13,54,442,67,268,98,192,89,225,105,17018.0,,33322
9,252,45,36,321,6326,77,86,3470,326,83,28,36,1536,289,787,116,165,286,52,46,101,100,216,560,114,16,154,39,18,13,55,448,68,272,100,195,90,228,107,17257.0,,33739
10,263,43,39,336,6358,73,93,3562,334,83,31,31,1614,279,787,112,172,299,59,48,107,109,230,621,112,17,172,45,19,13,58,456,70,299,104,188,91,223,104,17654.0,,34454
11,270,44,40,344,6519,75,95,3652,343,85,32,31,1655,286,806,115,176,306,61,49,110,112,236,637,114,18,176,47,20,13,59,468,71,306,106,193,94,229,107,18100.0,,35260
12,273,45,40,348,6586,76,96,3690,346,86,32,32,1672,289,815,116,178,309,62,49,111,113,238,644,116,18,178,47,20,14,60,473,72,309,107,195,95,232,108,18290.0,,35617
13,272,45,40,347,6568,76,96,3681,345,86,32,32,1668,288,813,115,178,309,61,49,111,113,238,642,115,18,178,47,20,14,60,472,72,309,107,195,94,231,107,18244.0,,35564
14,272,45,40,347,6572,76,96,3682,345,86,32,32,1668,288,813,115,178,309,61,49,111,113,238,642,115,18,178,47,20,14,60,472,72,309,107,195,94,231,107,18249.0,,35605
15,283,39,37,331,6853,75,86,3778,352,82,28,30,1705,271,652,111,163,284,57,50,110,101,228,583,107,18,164,47,18,14,54,473,66,294,104,187,90,222,96,18243.0,,35612
16,282,39,37,330,6831,74,85,3764,351,81,28,30,1699,270,649,110,162,283,57,50,109,100,228,581,106,18,163,47,18,14,54,471,66,293,104,186,89,221,95,18175.0,,35503
17,279,39,37,327,6762,74,85,3728,348,81,28,30,1683,267,643,109,161,280,56,49,108,100,225,576,105,18,162,46,18,14,54,467,65,290,103,184,88,219,95,18003.0,,35202
18,275,38,36,322,6657,72,83,3671,343,79,27,29,1657,263,633,108,158,276,55,49,107,98,222,567,104,18,159,46,18,14,53,460,64,286,101,182,87,216,93,17726.0,,34714
19,270,37,36,315,6532,71,82,3600,336,78,27,29,1625,258,621,105,155,271,54,48,105,96,218,556,102,17,156,45,17,14,52,451,63,280,99,178,85,212,91,17387.0,,34134
20,259,38,27,296,6727,71,65,3570,317,78,23,26,1570,232,476,99,152,233,51,44,105,92,208,473,95,16,140,39,18,15,45,458,61,267,93,164,85,214,98,17040.0,,33545
21,257,35,28,293,6632,68,65,3511,308,77,22,28,1542,230,467,94,155,229,47,47,103,87,203,464,94,15,141,36,15,13,44,448,59,263,95,159,83,211,94,16762.0,,33074
22,254,34,28,290,6556,67,64,3470,305,76,22,28,1524,228,461,93,153,226,47,47,101,86,200,459,93,14,139,36,14,13,44,442,58,260,94,157,82,209,93,16567.0,,32745
23,252,34,28,288,6512,67,64,3446,302,75,22,27,1514,226,458,92,152,225,46,46,101,85,199,456,93,14,138,36,14,13,43,439,58,258,94,156,81,207,92,16453.0,,32555
24,251,34,28,287,6491,67,64,3436,302,75,22,27,1509,225,457,92,152,224,46,46,100,85,198,454,92,14,138,35,14,13,43,438,57,258,93,156,81,207,92,16403.0,,32473
25,237,40,27,292,6510,74,67,3419,294,82,25,31,1456,221,405,92,154,220,45,50,100,84,196,426,97,13,141,34,14,14,47,463,60,264,97,147,95,212,101,16346.0,,32374
26,235,40,27,289,6449,73,66,3387,291,81,24,31,1442,219,401,91,152,218,45,50,100,83,194,422,96,13,140,33,14,14,46,458,59,262,96,146,94,210,100,16191.0,,32083
27,231,39,26,285,6343,72,65,3332,287,80,24,30,1418,215,394,90,150,214,44,49,98,82,191,415,94,13,138,33,13,14,46,451,58,257,94,143,93,206,99,15926.0,,31581
28,227,38,26,280,6229,71,64,3273,282,79,24,30,1393,211,387,88,147,211,43,48,96,81,187,408,93,13,135,32,13,14,45,443,57,253,93,141,91,203,97,15646.0,,31051
29,225,38,25,276,6158,70,63,3233,278,78,23,29,1376,209,383,87,145,208,43,47,95,80,185,403,92,12,133,32,13,14,44,437,56,250,91,139,90,200,96,15456.0,,30697
